Blues-Word	Blues-Count	Blues-Proportion	Country-Word	Country-Count	Country-Proportion	Electronic-Word	Electronic-Count	Electronic-Proportion	Folk-Word	Folk-Count	Folk-Proportion	International-Word	International-Count	International-Proportion	Jazz-Word	Jazz-Count	Jazz-Proportion	Latin-Word	Latin-Count	Latin-Proportion	Pop_Rock-Word	Pop_Rock-Count	Pop_Rock-Proportion	Rap-Word	Rap-Count	Rap-Proportion	Reggae-Word	Reggae-Count	Reggae-Proportion	RnB-Word	RnB-Count	RnB-Proportion
line	1	0,176%	face	3	0,149%	photo	3	0,178%	fear	2	0,158%	walk	1	0,257%	nada	1	0,232%	ala	3	0,163%	still	35	0,134%	our	9	0,139%	my	2	0,175%	life	4	0,155%
lip	1	0,176%	felt	3	0,149%	sehen	3	0,178%	find	2	0,158%	was	1	0,257%	noch	1	0,232%	alma	3	0,163%	street	35	0,134%	own	9	0,139%	noth	2	0,175%	littl	4	0,155%
long	1	0,176%	find	3	0,149%	silent	3	0,178%	front	2	0,158%	west	1	0,257%	noth	1	0,232%	amigo	3	0,163%	he	34	0,130%	put	9	0,139%	off	2	0,175%	man	4	0,155%
make	1	0,176%	girl	3	0,149%	sing	3	0,178%	gentlemen	2	0,158%	yourself	1	0,257%	nowher	1	0,232%	ano	3	0,163%	hey	34	0,130%	run	9	0,139%	oil	2	0,175%	said	4	0,155%
mind	1	0,176%	ground	3	0,149%	spend	3	0,178%	good	2	0,158%				oh	1	0,232%	bit	3	0,163%	man	34	0,130%	auf	8	0,124%	old	2	0,175%	same	4	0,155%
more	1	0,176%	head	3	0,149%	stay	3	0,178%	lass	2	0,158%				otra	1	0,232%	bother	3	0,163%	need	34	0,130%	come	8	0,124%	on	2	0,175%	street	4	0,155%
never	1	0,176%	help	3	0,149%	still	3	0,178%	lay	2	0,158%				otro	1	0,232%	buena	3	0,163%	realli	34	0,130%	denn	8	0,124%	our	2	0,175%	thing	4	0,155%
o	1	0,176%	her	3	0,149%	then	3	0,178%	move	2	0,158%				out	1	0,232%	cancion	3	0,163%	by	33	0,127%	fuckin	8	0,124%	profit	2	0,175%	those	4	0,155%
of	1	0,176%	here	3	0,149%	thought	3	0,178%	night	2	0,158%				para	1	0,232%	caus	3	0,163%	hard	33	0,127%	had	8	0,124%	put	2	0,175%	through	4	0,155%
oh	1	0,176%	highway	3	0,149%	wake	3	0,178%	past	2	0,158%				pasado	1	0,232%	chica	3	0,163%	hold	33	0,127%	hier	8	0,124%	rememb	2	0,175%	too	4	0,155%
over	1	0,176%	hope	3	0,149%	when	3	0,178%	peac	2	0,158%				paso	1	0,232%	coisa	3	0,163%	must	33	0,127%	hous	8	0,124%	say	2	0,175%	velvet	4	0,155%
pan	1	0,176%	husband	3	0,149%	who	3	0,178%	pretti	2	0,158%				peac	1	0,232%	como	3	0,163%	alway	32	0,123%	king	8	0,124%	seal	2	0,175%	well	4	0,155%
peep	1	0,176%	imagin	3	0,149%	with	3	0,178%	re	2	0,158%				pensar	1	0,232%	coro	3	0,163%	chang	32	0,123%	life	8	0,124%	share	2	0,175%	alon	3	0,117%
pen	1	0,176%	instrument	3	0,149%	alon	2	0,118%	right	2	0,158%				perfect	1	0,232%	cosa	3	0,163%	more	32	0,123%	look	8	0,124%	spoil	2	0,175%	as	3	0,117%
pistol	1	0,176%	kiss	3	0,149%	an	2	0,118%	round	2	0,158%				pero	1	0,232%	count	3	0,163%	night	32	0,123%	move	8	0,124%	stop	2	0,175%	avenu	3	0,117%
point	1	0,176%	left	3	0,149%	anywher	2	0,118%	see	2	0,158%				pido	1	0,232%	der	3	0,163%	again	31	0,119%	noch	8	0,124%	take	2	0,175%	bed	3	0,117%
put	1	0,176%	lose	3	0,149%	arrow	2	0,118%	send	2	0,158%				poco	1	0,232%	dizzi	3	0,163%	into	31	0,119%	off	8	0,124%	these	2	0,175%	begin	3	0,117%
rattl	1	0,176%	much	3	0,149%	beneath	2	0,118%	sheep	2	0,158%				por	1	0,232%	encuentro	3	0,163%	michael	31	0,119%	or	8	0,124%	time	2	0,175%	believ	3	0,117%
resist	1	0,176%	myself	3	0,149%	besid	2	0,118%	south	2	0,158%				pour	1	0,232%	even	3	0,163%	danc	30	0,115%	parti	8	0,124%	too	2	0,175%	bottom	3	0,117%
right	1	0,176%	nothin	3	0,149%	breath	2	0,118%	stop	2	0,158%				present	1	0,232%	except	3	0,163%	everyth	30	0,115%	product	8	0,124%	watch	2	0,175%	citi	3	0,117%
roll	1	0,176%	o	3	0,149%	breez	2	0,118%	they	2	0,158%				problema	1	0,232%	foto	3	0,163%	fall	30	0,115%	sag	8	0,124%	where	2	0,175%	clip	3	0,117%
rub	1	0,176%	one	3	0,149%	car	2	0,118%	three	2	0,158%				pue	1	0,232%	free	3	0,163%	cri	29	0,111%	said	8	0,124%	wine	2	0,175%	consequ	3	0,117%
run	1	0,176%	peter	3	0,149%	ceil	2	0,118%	through	2	0,158%				punto	1	0,232%	hay	3	0,163%	dream	29	0,111%	sich	8	0,124%	yet	2	0,175%	cryin	3	0,117%
said	1	0,176%	saturday	3	0,149%	cos	2	0,118%	top	2	0,158%				quien	1	0,232%	he	3	0,163%	had	29	0,111%	some	8	0,124%	your	2	0,175%	de	3	0,117%
same	1	0,176%	saw	3	0,149%	damn	2	0,118%	turn	2	0,158%				quit	1	0,232%	herida	3	0,163%	long	29	0,111%	style	8	0,124%	2x	1	0,087%	dream	3	0,117%
saw	1	0,176%	settl	3	0,149%	deep	2	0,118%	twenti	2	0,158%				qué	1	0,232%	ist	3	0,163%	someth	29	0,111%	time	8	0,124%	about	1	0,087%	duck	3	0,117%
scream	1	0,176%	she	3	0,149%	den	2	0,118%	understand	2	0,158%				river	1	0,232%	leav	3	0,163%	thought	29	0,111%	too	8	0,124%	admit	1	0,087%	end	3	0,117%
shake	1	0,176%	sin	3	0,149%	dig	2	0,118%	was	2	0,158%				sang	1	0,232%	mai	3	0,163%	town	29	0,111%	use	8	0,124%	alley	1	0,087%	enough	3	0,117%
shoot	1	0,176%	sing	3	0,149%	drown	2	0,118%	week	2	0,158%				seem	1	0,232%	mata	3	0,163%	call	28	0,107%	wenn	8	0,124%	along	1	0,087%	extra	3	0,117%
some	1	0,176%	sound	3	0,149%	everywher	2	0,118%	were	2	0,158%				seen	1	0,232%	mujer	3	0,163%	girl	28	0,107%	beat	7	0,108%	an	1	0,087%	find	3	0,117%
somebodi	1	0,176%	st	3	0,149%	fit	2	0,118%	what	2	0,158%				set	1	0,232%	más	3	0,163%	light	28	0,107%	bin	7	0,108%	ascend	1	0,087%	foreign	3	0,117%
someth	1	0,176%	start	3	0,149%	gone	2	0,118%	where	2	0,158%				sido	1	0,232%	ni	3	0,163%	much	28	0,107%	break	7	0,108%	ash	1	0,087%	full	3	0,117%
sound	1	0,176%	sun	3	0,149%	he	2	0,118%	who	2	0,158%				siempr	1	0,232%	noit	3	0,163%	start	28	0,107%	check	7	0,108%	belief	1	0,087%	guarante	3	0,117%
straight	1	0,176%	talk	3	0,149%	height	2	0,118%	1	1	0,079%				sient	1	0,232%	nuevo	3	0,163%	stay	28	0,107%	danc	7	0,108%	blow	1	0,087%	late	3	0,117%
sweet	1	0,176%	their	3	0,149%	here	2	0,118%	alon	1	0,079%				sigo	1	0,232%	or	3	0,163%	blue	27	0,104%	even	7	0,108%	breez	1	0,087%	left	3	0,117%
thought	1	0,176%	then	3	0,149%	hey	2	0,118%	among	1	0,079%				sigu	1	0,232%	palabra	3	0,163%	lie	27	0,104%	find	7	0,108%	brick	1	0,087%	let	3	0,117%
through	1	0,176%	these	3	0,149%	how	2	0,118%	ani	1	0,079%				silenc	1	0,232%	quero	3	0,163%	move	27	0,104%	gotta	7	0,108%	brother	1	0,087%	luck	3	0,117%
tin	1	0,176%	through	3	0,149%	ihr	2	0,118%	anyth	1	0,079%				some	1	0,232%	see	3	0,163%	some	27	0,104%	his	7	0,108%	burnt	1	0,087%	mi	3	0,117%
too	1	0,176%	till	3	0,149%	insid	2	0,118%	anywher	1	0,079%				suffer	1	0,232%	seguir	3	0,163%	has	26	0,100%	hot	7	0,108%	cigarett	1	0,087%	mind	3	0,117%
turn	1	0,176%	wast	3	0,149%	just	2	0,118%	arm	1	0,079%				tan	1	0,232%	sem	3	0,163%	kill	26	0,100%	kann	7	0,108%	citi	1	0,087%	nuh	3	0,117%
up	1	0,176%	we	3	0,149%	know	2	0,118%	around	1	0,079%				tanto	1	0,232%	sentir	3	0,163%	mine	26	0,100%	might	7	0,108%	cloth	1	0,087%	outta	3	0,117%
veri	1	0,176%	wo	3	0,149%	light	2	0,118%	asid	1	0,079%				te	1	0,232%	she	3	0,163%	them	26	0,100%	mine	7	0,108%	code	1	0,087%	phone	3	0,117%
voic	1	0,176%	yeah	3	0,149%	littl	2	0,118%	awhil	1	0,079%				there	1	0,232%	sient	3	0,163%	top	26	0,100%	oder	7	0,108%	conquer	1	0,087%	satisfact	3	0,117%
wait	1	0,176%	about	2	0,099%	live	2	0,118%	beast	1	0,079%				through	1	0,232%	so	3	0,163%	walk	26	0,100%	onli	7	0,108%	corrupt	1	0,087%	seven	3	0,117%
walk	1	0,176%	angri	2	0,099%	mit	2	0,118%	beauti	1	0,079%				toda	1	0,232%	sua	3	0,163%	doe	25	0,096%	rhyme	7	0,108%	cri	1	0,087%	should	3	0,117%
want	1	0,176%	around	2	0,099%	new	2	0,118%	been	1	0,079%				todo	1	0,232%	sueño	3	0,163%	hand	25	0,096%	right	7	0,108%	danc	1	0,087%	shoulder	3	0,117%
went	1	0,176%	belief	2	0,099%	oh	2	0,118%	befor	1	0,079%				una	1	0,232%	tan	3	0,163%	mean	25	0,096%	sie	7	0,108%	deaf	1	0,087%	sigh	3	0,117%
woman	1	0,176%	belong	2	0,099%	or	2	0,118%	began	1	0,079%				uno	1	0,232%	todo	3	0,163%	onli	25	0,096%	stand	7	0,108%	deal	1	0,087%	smooth	3	0,117%
word	1	0,176%	bore	2	0,099%	our	2	0,118%	believ	1	0,079%				usa	1	0,232%	ventana	3	0,163%	pleas	25	0,096%	them	7	0,108%	deni	1	0,087%	squeez	3	0,117%
workin	1	0,176%	call	2	0,099%	perform	2	0,118%	bend	1	0,079%				vamo	1	0,232%	ahora	2	0,108%	sweet	25	0,096%	weiß	7	0,108%	down	1	0,087%	stand	3	0,117%
your	1	0,176%	cowboy	2	0,099%	right	2	0,118%	better	1	0,079%				vas	1	0,232%	amanec	2	0,108%	u	25	0,096%	who	7	0,108%	drown	1	0,087%	start	3	0,117%
–	1	0,176%	crazi	2	0,099%	saw	2	0,118%	blue	1	0,079%				ver	1	0,232%	amar	2	0,108%	alon	24	0,092%	wollt	7	0,108%	dude	1	0,087%	surviv	3	0,117%
			danc	2	0,099%	shame	2	0,118%	boy	1	0,079%				vino	1	0,232%	auf	2	0,108%	better	24	0,092%	1	6	0,093%	dumb	1	0,087%	tast	3	0,117%
			declin	2	0,099%	sky	2	0,118%	brave	1	0,079%				vive	1	0,232%	cabeza	2	0,108%	everyday	24	0,092%	aber	6	0,093%	east	1	0,087%	then	3	0,117%
			did	2	0,099%	tale	2	0,118%	bright	1	0,079%				whatev	1	0,232%	can	2	0,108%	happi	24	0,092%	auch	6	0,093%	eat	1	0,087%	thought	3	0,117%
			drink	2	0,099%	these	2	0,118%	broad	1	0,079%				who	1	0,232%	christ	2	0,108%	home	24	0,092%	babi	6	0,093%	edg	1	0,087%	top	3	0,117%
			each	2	0,099%	they	2	0,118%	brush	1	0,079%				wo	1	0,232%	come	2	0,108%	left	24	0,092%	becaus	6	0,093%	end	1	0,087%	visit	3	0,117%
			els	2	0,099%	through	2	0,118%	burn	1	0,079%				¿qué	1	0,232%	corazon	2	0,108%	pictur	24	0,092%	carri	6	0,093%	everi	1	0,087%	warm	3	0,117%
			everi	2	0,099%	tooth	2	0,118%	café	1	0,079%							cuento	2	0,108%	place	24	0,092%	close	6	0,093%	evil	1	0,087%	wine	3	0,117%
			everyday	2	0,099%	turnin	2	0,118%	civil	1	0,079%							da	2	0,108%	said	24	0,092%	daß	6	0,093%	explod	1	0,087%	work	3	0,117%
			feet	2	0,099%	under	2	0,118%	cold	1	0,079%							del	2	0,108%	turn	24	0,092%	dem	6	0,093%	expos	1	0,087%	al	2	0,078%
			forgiv	2	0,099%	underneath	2	0,118%	come	1	0,079%							dice	2	0,108%	understand	24	0,092%	dich	6	0,093%	fade	1	0,087%	at	2	0,078%
			found	2	0,099%	us	2	0,118%	convers	1	0,079%							dicen	2	0,108%	wanna	24	0,092%	dj	6	0,093%	few	1	0,087%	away	2	0,078%
			gave	2	0,099%	view	2	0,118%	could	1	0,079%							did	2	0,108%	dead	23	0,088%	euch	6	0,093%	first	1	0,087%	babe	2	0,078%
			had	2	0,099%	want	2	0,118%	cure	1	0,079%							entend	2	0,108%	even	23	0,088%	head	6	0,093%	follow	1	0,087%	bath	2	0,078%
			hand	2	0,099%	watch	2	0,118%	cut	1	0,079%							esa	2	0,108%	hope	23	0,088%	hit	6	0,093%	found	1	0,087%	befor	2	0,078%
			hast	2	0,099%	wave	2	0,118%	damn	1	0,079%							espera	2	0,108%	than	23	0,088%	immer	6	0,093%	ghetto	1	0,087%	begun	2	0,078%
			hat	2	0,099%	weekend	2	0,118%	danger	1	0,079%							favor	2	0,108%	us	23	0,088%	line	6	0,093%	good	1	0,087%	blown	2	0,078%
			heard	2	0,099%	wing	2	0,118%	daylight	1	0,079%							feel	2	0,108%	voic	23	0,088%	mean	6	0,093%	great	1	0,087%	boy	2	0,078%
			his	2	0,099%	within	2	0,118%	dear	1	0,079%							gotta	2	0,108%	darl	22	0,084%	mic	6	0,093%	greet	1	0,087%	chang	2	0,078%
			honki	2	0,099%	would	2	0,118%	distanc	1	0,079%							habrá	2	0,108%	hear	22	0,084%	must	6	0,093%	grown	1	0,087%	chrome	2	0,078%
			hoo	2	0,099%	zu	2	0,118%	doctor	1	0,079%							hasta	2	0,108%	lover	22	0,084%	never	6	0,093%	guid	1	0,087%	comb	2	0,078%
			hous	2	0,099%	about	1	0,059%	don	1	0,079%							have	2	0,108%	or	22	0,084%	night	6	0,093%	had	1	0,087%	compani	2	0,078%
			insid	2	0,099%	acid	1	0,059%	door	1	0,079%							hope	2	0,108%	close	21	0,081%	nine	6	0,093%	hail	1	0,087%	cri	2	0,078%
			jesus	2	0,099%	act	1	0,059%	draw	1	0,079%							hoy	2	0,108%	everi	21	0,081%	ob	6	0,093%	hand	1	0,087%	danc	2	0,078%
			joy	2	0,099%	ai	1	0,059%	ear	1	0,079%							im	2	0,108%	insid	21	0,081%	one	6	0,093%	happen	1	0,087%	darl	2	0,078%
			laugh	2	0,099%	air	1	0,059%	east	1	0,079%							impos	2	0,108%	ordinari	21	0,081%	over	6	0,093%	happi	1	0,087%	dirti	2	0,078%
			leav	2	0,099%	allein	1	0,059%	em	1	0,079%							joy	2	0,108%	other	21	0,081%	rap	6	0,093%	harri	1	0,087%	e	2	0,078%
			livin	2	0,099%	among	1	0,059%	even	1	0,079%							just	2	0,108%	sleep	21	0,081%	rock	6	0,093%	heard	1	0,087%	eager	2	0,078%
			lone	2	0,099%	ander	1	0,059%	everyth	1	0,079%							like	2	0,108%	someon	21	0,081%	thing	6	0,093%	heavi	1	0,087%	everi	2	0,078%
			made	2	0,099%	anoth	1	0,059%	everywher	1	0,079%							loco	2	0,108%	these	21	0,081%	thought	6	0,093%	heel	1	0,087%	everywher	2	0,078%
			may	2	0,099%	anymor	1	0,059%	fair	1	0,079%							los	2	0,108%	grow	20	0,077%	um	6	0,093%	help	1	0,087%	far	2	0,078%
			mayb	2	0,099%	anyth	1	0,059%	fall	1	0,079%							made	2	0,108%	gun	20	0,077%	walk	6	0,093%	here	1	0,087%	fire	2	0,078%
			mine	2	0,099%	apolog	1	0,059%	feet	1	0,079%							mim	2	0,108%	head	20	0,077%	while	6	0,093%	high	1	0,087%	gone	2	0,078%
			miss	2	0,099%	arm	1	0,059%	fell	1	0,079%							mundo	2	0,108%	innoc	20	0,077%	wit	6	0,093%	insist	1	0,087%	good	2	0,078%
			monkey	2	0,099%	assum	1	0,059%	fever	1	0,079%							mí	2	0,108%	la	20	0,077%	yes	6	0,093%	j	1	0,087%	gotta	2	0,078%
			neither	2	0,099%	at	1	0,059%	fifti	1	0,079%							nacht	2	0,108%	late	20	0,077%	2	5	0,077%	jah	1	0,087%	hair	2	0,078%
			new	2	0,099%	auto	1	0,059%	fight	1	0,079%							nunca	2	0,108%	littl	20	0,077%	ander	5	0,077%	joke	1	0,087%	has	2	0,078%
			number	2	0,099%	aw	1	0,059%	fire	1	0,079%							oh	2	0,108%	nach	20	0,077%	anoth	5	0,077%	kill	1	0,087%	high	2	0,078%
			onli	2	0,099%	back	1	0,059%	four	1	0,079%							otra	2	0,108%	new	20	0,077%	around	5	0,077%	king	1	0,087%	higher	2	0,078%
			peopl	2	0,099%	battl	1	0,059%	freak	1	0,079%							part	2	0,108%	put	20	0,077%	away	5	0,077%	less	1	0,087%	im	2	0,078%
			shoe	2	0,099%	bay	1	0,059%	freedom	1	0,079%							paz	2	0,108%	befor	19	0,073%	better	5	0,077%	let	1	0,087%	kick	2	0,078%
			should	2	0,099%	bear	1	0,059%	frown	1	0,079%							plan	2	0,108%	hungri	19	0,073%	big	5	0,077%	lightn	1	0,087%	knee	2	0,078%
			side	2	0,099%	beauti	1	0,059%	garbag	1	0,079%							puerta	2	0,108%	mani	19	0,073%	call	5	0,077%	live	1	0,087%	known	2	0,078%
			sinc	2	0,099%	believ	1	0,059%	given	1	0,079%							quier	2	0,108%	que	19	0,073%	club	5	0,077%	load	1	0,087%	lock	2	0,078%
			someon	2	0,099%	below	1	0,059%	glanc	1	0,079%							same	2	0,108%	wait	19	0,073%	could	5	0,077%	loud	1	0,087%	money	2	0,078%
			song	2	0,099%	between	1	0,059%	goe	1	0,079%							ser	2	0,108%	bad	18	0,069%	dann	5	0,077%	meal	1	0,087%	myself	2	0,078%
			spoken	2	0,099%	blame	1	0,059%	goodby	1	0,079%							siempr	2	0,108%	behind	18	0,069%	egal	5	0,077%	moon	1	0,087%	nice	2	0,078%
			such	2	0,099%	bleed	1	0,059%	gown	1	0,079%							sin	2	0,108%	beyond	18	0,069%	einfach	5	0,077%	most	1	0,087%	ohh	2	0,078%
			there	2	0,099%	blunt	1	0,059%	green	1	0,079%							tanta	2	0,108%	cold	18	0,069%	end	5	0,077%	mr	1	0,087%	one	2	0,078%
			thing	2	0,099%	broke	1	0,059%	grind	1	0,079%							tard	2	0,108%	found	18	0,069%	everyth	5	0,077%	nah	1	0,087%	piec	2	0,078%
			tonight	2	0,099%	buy	1	0,059%	had	1	0,079%							tempo	2	0,108%	gone	18	0,069%	first	5	0,077%	open	1	0,087%	pole	2	0,078%
			toy	2	0,099%	by	1	0,059%	hand	1	0,079%							tire	2	0,108%	him	18	0,069%	ganz	5	0,077%	pose	1	0,087%	pop	2	0,078%
			wear	2	0,099%	ca	1	0,059%	hear	1	0,079%							toda	2	0,108%	lost	18	0,069%	gettin	5	0,077%	pretend	1	0,087%	privat	2	0,078%
			were	2	0,099%	came	1	0,059%	hello	1	0,079%							tus	2	0,108%	over	18	0,069%	girl	5	0,077%	problem	1	0,087%	pure	2	0,078%
			woman	2	0,099%	carri	1	0,059%	here	1	0,079%							una	2	0,108%	t	18	0,069%	gonna	5	0,077%	rain	1	0,087%	push	2	0,078%
			wonder	2	0,099%	caus	1	0,059%	hill	1	0,079%							vai	2	0,108%	bed	17	0,065%	hear	5	0,077%	rape	1	0,087%	quit	2	0,078%
			word	2	0,099%	citi	1	0,059%	hous	1	0,079%							ver	2	0,108%	cheer	17	0,065%	her	5	0,077%	real	1	0,087%	reason	2	0,078%
			abov	1	0,050%	clear	1	0,059%	if	1	0,079%							vez	2	0,108%	enough	17	0,065%	him	5	0,077%	record	1	0,087%	right	2	0,078%
			across	1	0,050%	concern	1	0,059%	ii	1	0,079%							voy	2	0,108%	float	17	0,065%	hold	5	0,077%	repeat	1	0,087%	roam	2	0,078%
			after	1	0,050%	cri	1	0,059%	jump	1	0,079%							wish	2	0,108%	rose	17	0,065%	ihm	5	0,077%	righteous	1	0,087%	romanc	2	0,078%
			alright	1	0,050%	da	1	0,059%	knock	1	0,079%							é	2	0,108%	stand	17	0,065%	keep	5	0,077%	river	1	0,087%	set	2	0,078%
			amen	1	0,050%	dad	1	0,059%	lamp	1	0,079%							agora	1	0,054%	their	17	0,065%	littl	5	0,077%	rob	1	0,087%	seventh	2	0,078%
			answer	1	0,050%	dann	1	0,059%	laughter	1	0,079%							ahi	1	0,054%	final	16	0,061%	place	5	0,077%	robe	1	0,087%	shall	2	0,078%
			attent	1	0,050%	dark	1	0,059%	left	1	0,079%							ahí	1	0,054%	fuck	16	0,061%	real	5	0,077%	roof	1	0,087%	she	2	0,078%
			attitud	1	0,050%	das	1	0,059%	liberti	1	0,079%							ainda	1	0,054%	goodby	16	0,061%	she	5	0,077%	rule	1	0,087%	sing	2	0,078%
			beg	1	0,050%	deed	1	0,059%	life	1	0,079%							al	1	0,054%	lay	16	0,061%	show	5	0,077%	satan	1	0,087%	snow	2	0,078%
			believ	1	0,050%	der	1	0,059%	linger	1	0,079%							alegria	1	0,054%	play	16	0,061%	sind	5	0,077%	sayin	1	0,087%	some	2	0,078%
			best	1	0,050%	did	1	0,059%	live	1	0,079%							algo	1	0,054%	road	16	0,061%	uh	5	0,077%	set	1	0,087%	someth	2	0,078%
			bill	1	0,050%	dissolv	1	0,059%	ll	1	0,079%							aliv	1	0,054%	roll	16	0,061%	welt	5	0,077%	shell	1	0,087%	still	2	0,078%
			birthday	1	0,050%	distract	1	0,059%	lord	1	0,079%							also	1	0,054%	sky	16	0,061%	wird	5	0,077%	shoot	1	0,087%	stone	2	0,078%
			blame	1	0,050%	done	1	0,059%	lost	1	0,079%							anda	1	0,054%	tear	16	0,061%	zum	5	0,077%	shoulder	1	0,087%	strang	2	0,078%
			blow	1	0,050%	door	1	0,059%	loud	1	0,079%							ao	1	0,054%	woman	16	0,061%	age	4	0,062%	smoke	1	0,087%	swing	2	0,078%
			book	1	0,050%	draw	1	0,059%	love	1	0,079%							are	1	0,054%	don’t	15	0,058%	air	4	0,062%	solut	1	0,087%	troi	2	0,078%
			break	1	0,050%	drawn	1	0,059%	merci	1	0,079%							as	1	0,054%	side	15	0,058%	arm	4	0,062%	somehow	1	0,087%	trust	2	0,078%
			bright	1	0,050%	drew	1	0,059%	middl	1	0,079%							así	1	0,054%	anoth	14	0,054%	ass	4	0,062%	someon	1	0,087%	tun	2	0,078%
			buri	1	0,050%	dull	1	0,059%	milk	1	0,079%							aun	1	0,054%	ask	14	0,054%	aus	4	0,062%	sorrow	1	0,087%	turn	2	0,078%
			by	1	0,050%	earth	1	0,059%	mind	1	0,079%							aunqu	1	0,054%	boy	14	0,054%	been	4	0,062%	star	1	0,087%	wanna	2	0,078%
			caught	1	0,050%	einer	1	0,059%	misti	1	0,079%							ave	1	0,054%	fli	14	0,054%	best	4	0,062%	stare	1	0,087%	were	2	0,078%
			cheat	1	0,050%	einfach	1	0,059%	mother	1	0,079%							ay	1	0,054%	hide	14	0,054%	blunt	4	0,062%	stay	1	0,087%	wit	2	0,078%
			circl	1	0,050%	els	1	0,059%	mouth	1	0,079%							aún	1	0,054%	livin	14	0,054%	boy	4	0,062%	steal	1	0,087%	yesterday	2	0,078%
			close	1	0,050%	empti	1	0,059%	natur	1	0,079%							babi	1	0,054%	lose	14	0,054%	breath	4	0,062%	straight	1	0,087%	young	2	0,078%
			compani	1	0,050%	end	1	0,059%	neon	1	0,079%							bailar	1	0,054%	sit	14	0,054%	bring	4	0,062%	string	1	0,087%	admit	1	0,039%
			could	1	0,050%	even	1	0,059%	new	1	0,079%							bello	1	0,054%	sun	14	0,054%	bust	4	0,062%	submit	1	0,087%	ador	1	0,039%
			crack	1	0,050%	everi	1	0,059%	noth	1	0,079%							better	1	0,054%	truth	14	0,054%	cat	4	0,062%	sun	1	0,087%	afraid	1	0,039%
			crow	1	0,050%	evil	1	0,059%	off	1	0,079%							boy	1	0,054%	word	14	0,054%	caught	4	0,062%	swear	1	0,087%	again	1	0,039%
			dare	1	0,050%	eye	1	0,059%	one	1	0,079%							bright	1	0,054%	&	13	0,050%	cold	4	0,062%	sword	1	0,087%	against	1	0,039%
			dash	1	0,050%	fade	1	0,059%	or	1	0,079%							cada	1	0,054%	ai	13	0,050%	cool	4	0,062%	tear	1	0,087%	aint	1	0,039%
			dead	1	0,050%	fall	1	0,059%	other	1	0,079%							care	1	0,054%	anymor	13	0,050%	dein	4	0,062%	then	1	0,087%	alreadi	1	0,039%
			dog	1	0,050%	fantasi	1	0,059%	our	1	0,079%							chanc	1	0,054%	born	13	0,050%	dir	4	0,062%	there	1	0,087%	although	1	0,039%
			door	1	0,050%	fast	1	0,059%	own	1	0,079%							cheap	1	0,054%	fear	13	0,050%	dog	4	0,062%	though	1	0,087%	anytim	1	0,039%
			em	1	0,050%	father	1	0,059%	pace	1	0,079%							child	1	0,054%	feet	13	0,050%	doin	4	0,062%	throw	1	0,087%	apart	1	0,039%
			enough	1	0,050%	felt	1	0,059%	pay	1	0,079%							choos	1	0,054%	fit	13	0,050%	dos	4	0,062%	thunder	1	0,087%	ask	1	0,039%
			envi	1	0,050%	fish	1	0,059%	pill	1	0,079%							conmigo	1	0,054%	grown	13	0,050%	drink	4	0,062%	town	1	0,087%	ate	1	0,039%
			even	1	0,050%	fli	1	0,059%	pride	1	0,079%							coração	1	0,054%	mouth	13	0,050%	er	4	0,062%	true	1	0,087%	bad	1	0,039%
			everyth	1	0,050%	funk	1	0,059%	prize	1	0,079%							cree	1	0,054%	ooo	13	0,050%	eye	4	0,062%	truth	1	0,087%	beach	1	0,039%
			everywher	1	0,050%	ganz	1	0,059%	proof	1	0,079%							cuando	1	0,054%	own	13	0,050%	floor	4	0,062%	under	1	0,087%	beauti	1	0,039%
			explain	1	0,050%	gave	1	0,059%	rang	1	0,079%							damag	1	0,054%	rememb	13	0,050%	front	4	0,062%	upon	1	0,087%	beer	1	0,039%
			fact	1	0,050%	geld	1	0,059%	realli	1	0,079%							dar	1	0,054%	s	13	0,050%	funk	4	0,062%	us	1	0,087%	belong	1	0,039%
			fade	1	0,050%	gibt	1	0,059%	recal	1	0,079%							dead	1	0,054%	sing	13	0,050%	für	4	0,062%	voic	1	0,087%	betray	1	0,039%
			fall	1	0,050%	glück	1	0,059%	rememb	1	0,079%							decir	1	0,054%	suppos	13	0,050%	home	4	0,062%	wear	1	0,087%	between	1	0,039%
			feather	1	0,050%	good	1	0,059%	remind	1	0,079%							decirt	1	0,054%	togeth	13	0,050%	im	4	0,062%	were	1	0,087%	bird	1	0,039%
			field	1	0,050%	goodby	1	0,059%	rest	1	0,079%							dejar	1	0,054%	took	13	0,050%	intent	4	0,062%	wheel	1	0,087%	blind	1	0,039%
			fight	1	0,050%	got	1	0,059%	rider	1	0,079%							despué	1	0,054%	use	13	0,050%	into	4	0,062%	whiskey	1	0,087%	blood	1	0,039%
			final	1	0,050%	gutter	1	0,059%	road	1	0,079%							dond	1	0,054%	y	13	0,050%	lang	4	0,062%	wish	1	0,087%	blur	1	0,039%
			flew	1	0,050%	haben	1	0,059%	roll	1	0,079%							dormir	1	0,054%	apart	12	0,046%	listen	4	0,062%	work	1	0,087%	bodi	1	0,039%
			flower	1	0,050%	hair	1	0,059%	romanc	1	0,079%							drive	1	0,054%	citi	12	0,046%	live	4	0,062%	worthi	1	0,087%	born	1	0,039%
			forev	1	0,050%	hang	1	0,059%	sang	1	0,079%							dá	1	0,054%	das	12	0,046%	love	4	0,062%	wreck	1	0,087%	bout	1	0,039%
